date,short_date,tm_days,DHW,HOT,DHW_30,DHW_60,DHW_90,DHW_120,DHW_150,DHW_180,DHW_210,DHW_240,DHW_270,DHW_300,DHW_330,DHW_360
1985-05-01T12:00:00Z,01/05/1985,12904,0,-0.67,,,,,,,,,,,,
1985-05-02T12:00:00Z,02/05/1985,12905,0,-0.68,,,,,,,,,,,,
1985-05-03T12:00:00Z,03/05/1985,12906,0,-0.27,,,,,,,,,,,,
1985-05-04T12:00:00Z,04/05/1985,12907,0,-0.23,,,,,,,,,,,,
1985-05-05T12:00:00Z,05/05/1985,12908,0,-0.25,,,,,,,,,,,,
1985-05-06T12:00:00Z,06/05/1985,12909,0,-0.12,,,,,,,,,,,,
1985-05-07T12:00:00Z,07/05/1985,12910,0,-0.23,,,,,,,,,,,,
1985-05-08T12:00:00Z,08/05/1985,12911,0,-0.31,,,,,,,,,,,,
1985-05-09T12:00:00Z,09/05/1985,12912,0,-0.38,,,,,,,,,,,,
1985-05-10T12:00:00Z,10/05/1985,12913,0,-0.39,,,,,,,,,,,,
1985-05-11T12:00:00Z,11/05/1985,12914,0,-0.3,,,,,,,,,,,,
1985-05-12T12:00:00Z,12/05/1985,12915,0,-0.18,,,,,,,,,,,,
1985-05-13T12:00:00Z,13/05/1985,12916,0,-0.04,,,,,,,,,,,,
1985-05-14T12:00:00Z,14/05/1985,12917,0,0.08,,,,,,,,,,,,
1985-05-15T12:00:00Z,15/05/1985,12918,0,0.19,,,,,,,,,,,,
1985-05-16T12:00:00Z,16/05/1985,12919,0,0.31,,,,,,,,,,,,
1985-05-17T12:00:00Z,17/05/1985,12920,0,-0.14,,,,,,,,,,,,
1985-05-18T12:00:00Z,18/05/1985,12921,0,0.07,,,,,,,,,,,,
1985-05-19T12:00:00Z,19/05/1985,12922,0,-0.14,,,,,,,,,,,,
1985-05-20T12:00:00Z,20/05/1985,12923,0,-0.72,,,,,,,,,,,,
1985-05-21T12:00:00Z,21/05/1985,12924,0,-0.82,,,,,,,,,,,,
