Year,DMI,tm_1,Nino_3.4
1985,0.166029806,15/05/1985,-0.757572236
1985,-0.611244625,15/06/1985,-0.783747536
1985,-0.445505497,17/07/1985,-0.573865911
1985,-0.202999275,17/08/1985,-0.441620297
1985,-0.113654612,14/09/1985,-0.536786665
1985,-0.345565153,16/10/1985,-0.562030109
1985,-0.016600588,16/11/1985,-0.526847034
1985,-0.155868695,14/12/1985,-0.517594335
1986,-0.158768261,15/01/1986,-0.880568743
1986,0.108843582,15/02/1986,-0.904823049
1986,0.31595561,15/03/1986,-0.616561373
1986,0.308383536,16/04/1986,-0.357362827
1986,0.396104999,17/05/1986,-0.367188512
1986,0.027788243,14/06/1986,0.021628744
1986,-0.600855634,16/07/1986,0.080626312
1986,-0.173009477,16/08/1986,0.226011249
1986,0.003345051,13/09/1986,0.547708483
1986,0.018728804,15/10/1986,0.782872482
1986,0.149330937,15/11/1986,1.02406521
1986,-0.025934856,17/12/1986,1.080553472
1987,-0.107308411,17/01/1987,1.221574867
1987,-0.196848364,14/02/1987,1.1739951
1987,-0.196155695,14/03/1987,1.184074918
1987,-0.148797415,15/04/1987,1.042267642
1987,0.316159403,16/05/1987,0.867406217
1987,-0.17271737,13/06/1987,1.335174038
1987,-0.278007657,15/07/1987,1.508074534
1987,0.18535997,15/08/1987,1.649640999
1987,0.547868795,16/09/1987,1.590077999
1987,0.323883505,17/10/1987,1.293140775
1987,0.162828528,14/11/1987,1.291898203
1987,0.007767078,16/12/1987,0.973358212
1988,-0.007291435,16/01/1988,0.626550415
1988,0.055270669,13/02/1988,0.397011971
1988,-0.184225606,16/03/1988,0.011024996
1988,0.206564426,16/04/1988,-0.457459909
1988,-0.359123329,14/05/1988,-1.380565971
1988,-0.358404206,15/06/1988,-1.532348947
1988,0.019845878,16/07/1988,-1.724291402
1988,0.168532951,17/08/1988,-1.641934459
1988,0.155106487,17/09/1988,-1.395513455
1988,-0.12134039,15/10/1988,-2.143212382
1988,-0.228650854,16/11/1988,-2.444745322
1988,0.187338277,17/12/1988,-2.272909376
1989,-0.402158621,14/01/1989,-2.194849066
1989,0.225284615,11/02/1989,-1.566864703
1989,-0.086665895,15/03/1989,-1.373113006
1989,-0.027954518,15/04/1989,-1.084525448
1989,-0.20010183,17/05/1989,-0.807418295
1989,-0.518345627,17/06/1989,-0.627276665
1989,-0.247742676,15/07/1989,-0.545247907
1989,-0.568895338,16/08/1989,-0.594521794
1989,-0.241271301,16/09/1989,-0.528682119
1989,-0.220232406,14/10/1989,-0.523949607
1989,-0.261774161,15/11/1989,-0.441190042
1989,-0.08331755,16/12/1989,-0.265386655
1990,0.385755077,17/01/1990,-0.12860734
1990,-0.020394693,17/02/1990,0.128848321
1990,0.096204376,17/03/1990,0.177674041
1990,-0.096795423,14/04/1990,0.255472077
1990,-0.304758467,16/05/1990,0.190408108
1990,-0.497112466,16/06/1990,-0.083164749
1990,-0.223892776,14/07/1990,-0.044903432
1990,-0.204915317,15/08/1990,0.115536195
1990,-0.465870496,15/09/1990,-0.054838322
1990,-0.5058552,17/10/1990,0.198654508
1990,-0.238331405,17/11/1990,-0.002504344
1990,-0.153606655,15/12/1990,0.289056619
1991,-0.042327253,16/01/1991,0.319643365
1991,-0.070624498,16/02/1991,0.053984681
1991,-0.125727433,16/03/1991,-0.031331097
1991,0.748562447,13/04/1991,0.219457426
1991,0.838518536,15/05/1991,0.463098896
1991,0.268923602,15/06/1991,0.717339508
1991,0.115724722,17/07/1991,0.636564532
1991,0.268551168,17/08/1991,0.471426186
1991,0.694955424,14/09/1991,0.272707831
1991,0.683083311,16/10/1991,0.838723096
1991,0.479693934,16/11/1991,1.165966532
1991,0.414737768,14/12/1991,1.720505885
1992,-0.217081245,15/01/1992,1.731696136
1992,-0.719049523,15/02/1992,1.793663353
1992,-0.867225559,14/03/1992,1.529426361
1992,-0.497107152,15/04/1992,1.378113866
1992,-0.098814303,16/05/1992,1.134272699
1992,-0.616022151,13/06/1992,0.413555199
1992,-0.231719539,15/07/1992,0.226341271
1992,-0.577358137,15/08/1992,-0.283688857
1992,-0.940737129,16/09/1992,-0.307120519
1992,-0.572935358,17/10/1992,-0.469666114
1992,-0.104269811,14/11/1992,-0.20270271
1992,0.015137688,16/12/1992,0.078672569
1993,-0.063499005,16/01/1993,-0.00477766
1993,0.233549956,13/02/1993,0.122510971
1993,-0.265447216,17/03/1993,0.391677412
1993,0.033196761,17/04/1993,0.847314185
1993,0.392443304,15/05/1993,0.959941145
1993,0.068981883,16/06/1993,0.639527597
1993,0.151013042,17/07/1993,0.23749061
1993,-0.141616091,14/08/1993,-0.11393636
1993,-0.412515767,15/09/1993,0.138611855
1993,-0.182260414,16/10/1993,0.131956317
1993,-0.221043662,13/11/1993,0.21256717
1993,-0.219694258,15/12/1993,0.124236446
1994,0.081710874,15/01/1994,-0.085035808
1994,-0.266967444,12/02/1994,-0.238365552
1994,0.309383125,16/03/1994,-0.024325473
1994,0.564651144,16/04/1994,0.145376144
1994,0.840727977,14/05/1994,0.128733491
1994,0.679342859,15/06/1994,0.330149673
1994,1.140372176,16/07/1994,0.052165946
1994,1.646172889,17/08/1994,0.40802793
1994,1.400343733,17/09/1994,0.212519734
1994,2.248465585,15/10/1994,0.698388637
1994,0.656938028,16/11/1994,1.183107716
1994,0.092525964,17/12/1994,1.231591034
1995,-0.334235211,14/01/1995,0.87584976
1995,0.111414589,11/02/1995,0.607071815
1995,0.197656394,15/03/1995,0.368121011
1995,0.145421612,15/04/1995,0.173572796
1995,-0.045567835,17/05/1995,-0.130328123
1995,-0.083148941,17/06/1995,-0.070125823
1995,-0.340151785,15/07/1995,-0.287393308
1995,-0.22792106,16/08/1995,-0.608228345
1995,0.050830385,16/09/1995,-0.81172247
1995,-0.106097849,14/10/1995,-1.117906172
1995,-0.357259558,15/11/1995,-1.045982673
1995,0.494333016,16/12/1995,-1.073515373
1996,0.265294646,17/01/1996,-0.954692692
1996,0.241186439,17/02/1996,-0.983935798
1996,-0.238466527,16/03/1996,-0.674530571
1996,-0.288986804,13/04/1996,-0.411772742
1996,-0.170402487,15/05/1996,-0.4929081
1996,-0.253904656,15/06/1996,-0.341324849
1996,-0.589375926,17/07/1996,-0.207903743
1996,-0.912767398,17/08/1996,-0.347539748
1996,-0.417145478,14/09/1996,-0.434705133
1996,-1.230469789,16/10/1996,-0.5455461
1996,-0.689314244,16/11/1996,-0.502824504
1996,-0.40359792,14/12/1996,-0.58468932
1997,-0.135232588,15/01/1997,-0.730450736
1997,0.153968651,15/02/1997,-0.489030331
