tm,DMI,Nino3.4
16/01/1993,-0.063499005,-0.00477766
13/02/1993,0.233549956,0.122510971
17/03/1993,-0.265447216,0.391677412
17/04/1993,0.033196761,0.847314185
15/05/1993,0.392443304,0.959941145
16/06/1993,0.068981883,0.639527597
17/07/1993,0.151013042,0.23749061
14/08/1993,-0.141616091,-0.11393636
15/09/1993,-0.412515767,0.138611855
16/10/1993,-0.182260414,0.131956317
13/11/1993,-0.221043662,0.21256717
15/12/1993,-0.219694258,0.124236446
15/01/1994,0.081710874,-0.085035808
12/02/1994,-0.266967444,-0.238365552
16/03/1994,0.309383125,-0.024325473
16/04/1994,0.564651144,0.145376144
14/05/1994,0.840727977,0.128733491
15/06/1994,0.679342859,0.330149673
16/07/1994,1.140372176,0.052165946
17/08/1994,1.646172889,0.40802793
17/09/1994,1.400343733,0.212519734
15/10/1994,2.248465585,0.698388637
16/11/1994,0.656938028,1.183107716
17/12/1994,0.092525964,1.231591034
14/01/1995,-0.334235211,0.87584976
11/02/1995,0.111414589,0.607071815
15/03/1995,0.197656394,0.368121011
15/04/1995,0.145421612,0.173572796
17/05/1995,-0.045567835,-0.130328123
17/06/1995,-0.083148941,-0.070125823
15/07/1995,-0.340151785,-0.287393308
16/08/1995,-0.22792106,-0.608228345
16/09/1995,0.050830385,-0.81172247
14/10/1995,-0.106097849,-1.117906172
15/11/1995,-0.357259558,-1.045982673
16/12/1995,0.494333016,-1.073515373
17/01/1996,0.265294646,-0.954692692
17/02/1996,0.241186439,-0.983935798
16/03/1996,-0.238466527,-0.674530571
13/04/1996,-0.288986804,-0.411772742
15/05/1996,-0.170402487,-0.4929081
15/06/1996,-0.253904656,-0.341324849
17/07/1996,-0.589375926,-0.207903743
17/08/1996,-0.912767398,-0.347539748
14/09/1996,-0.417145478,-0.434705133
16/10/1996,-1.230469789,-0.5455461
16/11/1996,-0.689314244,-0.502824504
14/12/1996,-0.40359792,-0.58468932
15/01/1997,-0.135232588,-0.730450736
15/02/1997,0.153968651,-0.489030331
15/03/1997,0.227427811,-0.260580858
16/04/1997,0.198192391,0.262842673
17/05/1997,0.125930758,0.74931321
14/06/1997,0.133199275,1.279834475
16/07/1997,0.985224507,1.634227948
16/08/1997,0.887211308,1.91656419
13/09/1997,1.247986838,2.117691002
15/10/1997,2.155917479,2.449528766
15/11/1997,2.325627636,2.630033436
17/12/1997,1.059482232,2.61293905
17/01/1998,0.627602786,2.395038741
14/02/1998,0.391780099,2.022106816
14/03/1998,-0.123447085,1.403840332
15/04/1998,-0.029804738,0.821187644
16/05/1998,0.046950144,0.642721543
13/06/1998,0.071330182,-0.913969627
15/07/1998,-0.765717618,-1.334927811
15/08/1998,-0.829895221,-1.460452698
16/09/1998,-0.840079251,-1.22749122
17/10/1998,-1.006310015,-1.405433954
14/11/1998,-0.80647231,-1.523410352
16/12/1998,-0.498073917,-1.840833012
16/01/1999,-0.260660165,-1.785423562
13/02/1999,0.026800689,-1.459107203
17/03/1999,0.317852884,-1.027561887
17/04/1999,0.171588571,-0.898912817
15/05/1999,-0.442516022,-0.890109648
16/06/1999,-0.271233035,-1.045756816
17/07/1999,0.056799131,-0.956967301
14/08/1999,0.094223742,-1.328665672
